#ts,device_id,x,y,vx,vy,cov_xx,cov_yy
1759437203.8673234,tracker_1,-1.0598809240156681,2.7183690452775116,0.0,0.0,0.12208698982005227,0.10250128089892101
1759437204.8664563,tracker_1,-1.0402127665370298,2.737810346363891,0.0,0.0,1.090208432996424,0.12775585340422163
1759437205.8666532,tracker_1,-1.064791697394695,2.7289750446417886,0.0,0.0,0.4354066544385154,0.09977092646595179
1759437206.8665745,tracker_1,-1.1081617741338317,2.7615287085574876,0.0,0.0,0.3896381237014925,0.04516523226393626
1759437207.8667023,tracker_1,-1.2419286441043114,2.8042538100087273,0.0,0.0,0.12508723285398501,0.17998087319561748
1759437208.866829,tracker_1,-1.2137336090049369,2.805513496470666,0.0,0.0,0.2828899073724499,0.09328137240398168
1759437209.8670077,tracker_1,-0.7443060618439366,2.9549536530316445,0.0,0.0,0.5076706217903928,1.5510206575460312
1759437210.8676043,tracker_1,-0.7448639777522138,2.8945191232877847,0.0,0.0,23.088357568567208,3.6519271632011527
1759437211.8677614,tracker_1,-0.7145769849475925,2.48950636754771,0.0,0.0,14.15553699773279,0.9195388005739394
1759437212.8677936,tracker_1,-0.6171541361513211,2.180313033755353,0.0,0.0,3.755313182232909,0.07250403718708322
1759437213.8677201,tracker_1,-0.5673791008166679,2.0779487662360583,0.0,0.0,2.042337637543882,0.30038974782808925
1759437214.868342,tracker_1,-0.35673588892026287,2.3461848496054425,0.0,0.0,16.566947918798064,2.7236335019338993
1759437215.868336,tracker_1,-0.2806844080707696,2.463720636485342,0.0,0.0,16.564321194374592,2.723394223851974
1759437216.8683715,tracker_1,-0.27254876704923364,2.47967237335623,0.0,0.0,1.203086461472055,1.2732690871315675
1759437217.8686862,tracker_1,-0.35990948146958773,2.608502039910451,0.0,0.0,0.4221659185815614,0.13025554066363693
1759437218.8688416,tracker_1,-0.4436593167088393,2.616931246438713,0.0,0.0,0.36264382695720526,0.15029275707620599
1759437219.869049,tracker_1,-0.5083455409298954,2.610851526391169,0.0,0.0,0.5270525724239226,0.3460129081947749
1759437220.8693852,tracker_1,-0.5059087909421877,2.5947058972581796,0.0,0.0,0.4730751041980373,0.11505890762801799
1759437221.8695025,tracker_1,-0.599877953693244,2.6716969885996993,0.0,0.0,0.36341452881495007,0.17902722987110736
1759437222.8708289,tracker_1,-1.0583332393336333,2.7008729430167735,0.0,0.0,0.0888484616368884,0.11246141847045844
1759437223.8698206,tracker_1,-1.0717519729819756,2.810035312220243,0.0,0.0,0.27370528990622023,0.2519580499783321
1759437224.8717365,tracker_1,-1.1908953157986435,2.7114016119258135,0.0,0.0,0.11012139590056935,0.12792354993484326
1759437225.8767953,tracker_1,-1.2253415692719518,2.6084557244023934,0.0,0.0,0.09471282979330113,0.08079809428125424
1759437226.8781042,tracker_1,-1.1874106934415256,2.647650533216087,0.0,0.0,0.7611204290790111,0.07969914210539941
1759437227.8831959,tracker_1,-1.128718192702654,2.6477080910770465,0.0,0.0,0.6027691654668437,0.11625902819052071
1759437228.8886414,tracker_1,-1.0710335732907728,2.6290648886064143,0.0,0.0,0.4471705916741622,0.12732371161506387
1759437229.8920553,tracker_1,-1.0357832591283829,2.6003825150879862,0.0,0.0,0.32649274720983656,0.1310916683257769
1759437230.893502,tracker_1,-1.0070051213690474,2.584611054414306,0.0,0.0,0.32679004745173523,0.12738156984464938
1759437231.8986373,tracker_1,-1.2094712563565193,2.5350675086430665,0.0,0.0,0.28335715541684237,1.2940841872076272
1759437232.9036436,tracker_1,-1.1668094216700065,2.518338419236928,0.0,0.0,0.32649272612390984,0.13109167342187059
1759437233.9089231,tracker_1,-1.2055830683696482,2.4586509735285906,0.0,0.0,0.1011190638495613,0.09100224485708143
1759437234.9090657,tracker_1,-1.1795192218265884,2.4838316424146845,0.0,0.0,0.9454166332058931,0.15448171119218992
1759437235.9090955,tracker_1,-1.1454596846392033,2.4872643737432467,0.0,0.0,0.6107910334822785,0.1635283448605783
1759437236.9092693,tracker_1,-1.1055183875846941,2.511258140208338,0.0,0.0,0.5025745346086747,0.08222455966420815
1759437237.9093828,tracker_1,-1.0676646633084759,2.528455566741406,0.0,0.0,0.6014829735768351,0.13600523154408825
1759437238.9094217,tracker_1,-1.0331986106127207,2.5308828191577395,0.0,0.0,0.5998463140780758,0.1554370264958132
1759437239.909575,tracker_1,-1.1464815325388307,2.4655854049770447,0.0,0.0,0.09819902123251334,0.08653151131228867
1759437240.9097013,tracker_1,-1.0942928265372058,2.5237825751655736,0.0,0.0,1.082233713848406,0.3694231671260396
1759437241.9097283,tracker_1,-1.047559960174487,2.5650341671152472,0.0,0.0,1.2094251027414586,0.46534000388008023
1759437242.909875,tracker_1,-0.9381351246692777,2.6789476573421154,0.0,0.0,1.1434747083304764,0.45189638250919356
1759437243.9100614,tracker_1,-0.8441702386646868,2.7838860830432086,0.0,0.0,0.787886253720061,0.22609313403050493
1759437244.9103467,tracker_1,-0.8104220844150756,2.798005341833122,0.0,0.0,1.4775473293772716,0.4320929233866927
1759437245.9104917,tracker_1,-0.7540145537150718,2.7947255550480334,0.0,0.0,0.7120539701103352,0.1349091405768346
1759437246.9109612,tracker_1,-0.6310416914347704,2.565726556927681,0.0,0.0,1.784937421118744,0.10469193147121324
1759437247.9128919,tracker_1,-0.613133784835671,2.4978184431011767,0.0,0.0,7.746124240550783,0.05675837394531002
1759437248.912982,tracker_1,-0.34634724456029153,2.6627965241314966,0.0,0.0,0.7504518671999774,0.2254205151502507
1759437249.9176543,tracker_1,-0.26219062605144133,2.527569763313882,0.0,0.0,8.154798123978315,0.01858075157542109
1759437250.9170046,tracker_1,-0.10501532523794047,2.528035323274296,0.0,0.0,0.49721521522231943,0.03336927115207401
1759437251.9169972,tracker_1,-0.09996678071796734,2.45885790429709,0.0,0.0,0.5854397241660322,0.08983203970019897
